Широко распространён в Австралии , где его выращивают на срезку .	ru:O ru:O ru:O ru:B-LOC ru:O ru:O ru:O ru:O ru:O ru:O ru:O
رهبر گروه بیلی جو آرمسترانگ می باشد .	fa:O fa:O fa:B-PER fa:I-PER fa:I-PER fa:O fa:O fa:O
تغییرمسیر جاده ئی۵۷۳ اروپا	fa:O fa:B-ORG fa:I-ORG fa:I-ORG
' '' آفاق تونس '' '	ar:O ar:O ar:B-ORG ar:I-ORG ar:O ar:O
' '' Capital '' '	pt:O pt:O pt:B-LOC pt:O pt:O
Karijeru je počeo u Flamengu .	bs:O bs:O bs:O bs:O bs:B-ORG bs:O
تغییرمسیر مسافر ( مجموعه تلویزیونی )	fa:O fa:B-ORG fa:I-ORG fa:I-ORG fa:I-ORG fa:I-ORG
De linjer , hvis numre ender på 00 , kører på tværs af S-togsnettet , mens de øvrige linjer , hvis numre ender på 50 , er enkelt- eller dobbeltradiale via Københavns centrum .	da:O da:O da:O da:O da:O da:O da:O da:O da:O da:O da:O da:O da:O da:B-ORG da:O da:O da:O da:O da:O da:O da:O da:O da:O da:O da:O da:O da:O da:O da:O da:O da:O da:B-LOC da:O da:O
Xa lộ Liên tiểu bang 85 tại Petersburg , Virginia	vi:B-ORG vi:I-ORG vi:I-ORG vi:I-ORG vi:I-ORG vi:I-ORG vi:O vi:B-LOC vi:I-LOC vi:I-LOC
You Do n't Love Me Anymore ''	it:B-ORG it:I-ORG it:I-ORG it:I-ORG it:I-ORG it:I-ORG it:O
Narciso Agúndez Montaño	nl:B-PER nl:I-PER nl:I-PER
Објектот е забележан и во фотографското истражување спроведено од Паломарската опсерваторија во 1958 година , каде што се споменува во групата под број 65 .	mk:O mk:O mk:O mk:O mk:O mk:O mk:O mk:O mk:O mk:B-ORG mk:I-ORG mk:O mk:O mk:O mk:O mk:O mk:O mk:O mk:O mk:O mk:O mk:O mk:O mk:O mk:O
ALIH Komune di departemen Indre-et-Loire	id:O id:B-LOC id:I-LOC id:I-LOC id:I-LOC
' '' Peru '' ' -	no:O no:O no:B-LOC no:O no:O no:O
Kasnije je prijestolnica prenesena u Kutaisi .	hr:O hr:O hr:O hr:O hr:O hr:B-LOC hr:O
Birger Magnusson ( d.1321 )	no:B-PER no:I-PER no:O no:O no:O
REDIRECCIÓN Andrew S. Tanenbaum	es:O es:B-PER es:I-PER es:I-PER
تحويل هرمزغان ( محافظة )	ar:O ar:B-LOC ar:I-LOC ar:I-LOC ar:I-LOC
Tentera Laut Amerika Syarikat	ms:B-ORG ms:I-ORG ms:I-ORG ms:I-ORG
Jakers ! Aventurile lui Piggley Winks	ro:B-ORG ro:I-ORG ro:I-ORG ro:I-ORG ro:I-ORG ro:I-ORG
Austrosaure ( ''Austrosaurus '' )	ca:B-LOC ca:O ca:O ca:O ca:O
تغییرمسیر بنفشه‌درق ( چاراویماق )	fa:O fa:B-LOC fa:I-LOC fa:I-LOC fa:I-LOC
' '' İscehisar '' '	tr:O tr:O tr:B-LOC tr:O tr:O
Ronda del Litoral	ca:B-ORG ca:I-ORG ca:I-ORG
Tentoraz to bolo proti tímu AC Arles-Avignon a víťazstve 4 .	sk:O sk:O sk:O sk:O sk:O sk:B-ORG sk:I-ORG sk:O sk:O sk:O sk:O
Soon after she and Lynden Pindling met ; the couple married on 5 May 1956 and remained married until his death on 26 August 2000 .	en:O en:O en:O en:O en:B-PER en:I-PER en:O en:O en:O en:O en:O en:O en:O en:O en:O en:O en:O en:O en:O en:O en:O en:O en:O en:O en:O en:O
Pertubuhan Kesihatan Sedunia	ms:B-ORG ms:I-ORG ms:I-ORG
1853ஆம் ஆண்டில் இங்கிலாந்திலுள்ள இதே பெயர்கொண்ட ஊரின் பெயரைக் கொண்டு ஓர் சிற்றூராக நிறுவப்பட்டது .	ta:O ta:O ta:B-LOC ta:O ta:O ta:O ta:O ta:O ta:O ta:O ta:O ta:O
Los tartesios tuvieron presencia en esas tierras .	es:O es:B-LOC es:O es:O es:O es:O es:O es:O
Його дружина Надія Філаретівна була пристрасною шанувальницею таланту Петра Чайковського .	uk:O uk:O uk:B-PER uk:I-PER uk:O uk:O uk:O uk:O uk:B-PER uk:I-PER uk:O
' '' x '' Memfisas `` Grizzlies ''	lv:O lv:O lv:O lv:O lv:B-ORG lv:I-ORG lv:I-ORG lv:I-ORG
סנקט פטרבורג , רוסיה	he:B-LOC he:I-LOC he:O he:B-LOC
Je celé na území Rumunska .	cs:O cs:O cs:O cs:O cs:B-LOC cs:O
उत्तर प्रदेश ( 128 ) , मध्य प्रदेश ( 268 )	hi:B-LOC hi:I-LOC hi:O hi:O hi:O hi:O hi:B-LOC hi:I-LOC hi:O hi:O hi:O
Åke Edwardson ( 1953- ) , S	tr:O tr:B-PER tr:I-PER tr:O tr:O tr:O tr:O tr:O
A Million in Prizes  The Anthology	en:B-ORG en:I-ORG en:I-ORG en:I-ORG en:I-ORG en:I-ORG en:I-ORG
'' Odeon '' '	sv:O sv:B-ORG sv:O sv:O
Прва македонска фудбалска лига	mk:B-ORG mk:I-ORG mk:I-ORG mk:I-ORG
' '' Товароносимост ХЦО '' ' 5 660 кг .	bg:O bg:O bg:O bg:B-LOC bg:O bg:O bg:O bg:O bg:O bg:O
הוא נולד נירנברג ומת פרנקפורט .	he:O he:O he:B-LOC he:O he:B-LOC he:O
' '' Papež '' ' – Formosus	cs:O cs:O cs:B-LOC cs:O cs:O cs:O cs:B-PER
সত্যজিৎ রায়ের সাহিত্যকর্ম	bn:B-ORG bn:I-ORG bn:I-ORG
சி. பா. ஆதித்தனார் , புலவர் கே .	ta:B-PER ta:I-PER ta:I-PER ta:O ta:O ta:O ta:O
Zendaya , Bella Thorne e Davis Cleveland estão presentes em todos os episódios .	pt:B-PER pt:O pt:B-PER pt:I-PER pt:O pt:B-PER pt:I-PER pt:O pt:O pt:O pt:O pt:O pt:O pt:O
' '' Hamburger SV '' '	tr:O tr:O tr:B-ORG tr:I-ORG tr:O tr:O
'' Kokemäki '' '	fi:O fi:B-LOC fi:O fi:O
' '' Bernard Hinault '' '	es:O es:O es:B-PER es:I-PER es:O es:O
Gary Burton / Eberhard Weber	no:B-PER no:I-PER no:O no:B-PER no:I-PER
' '' Ηνωμένο Βασίλειο '' '	el:O el:O el:B-LOC el:I-LOC el:O el:O
Distretto di Chrzanów	it:B-LOC it:I-LOC it:I-LOC
הפניה אליפות אירופה בכדורסל	he:O he:B-ORG he:I-ORG he:I-ORG
Dick Van Dyke	ro:B-PER ro:I-PER ro:I-PER
Movimiento de Países No Alineados	es:B-ORG es:I-ORG es:I-ORG es:I-ORG es:I-ORG
Universidade Estácio de Sá .	pt:B-ORG pt:I-ORG pt:I-ORG pt:I-ORG pt:O
ΑΝΑΚΑΤΕΥΘΥΝΣΗ Ρενέ Α΄ της Νάπολης	el:O el:B-PER el:I-PER el:I-PER el:I-PER
איימי אדמס - לויס ליין	he:B-PER he:I-PER he:O he:B-PER he:I-PER
Ullevaal , Oslo ( A )	en:B-ORG en:O en:B-LOC en:O en:O en:O
ALIH Presiden Pro Tempore Senat Amerika Serikat	id:O id:B-PER id:I-PER id:I-PER id:I-PER id:I-PER id:I-PER
μέχρι και κατά την εποχή του Σωκράτη , αφού ορισμένοι υπήρξαν σύγχρονοί του .	el:O el:O el:O el:O el:O el:O el:B-PER el:O el:O el:O el:O el:O el:O el:O
( 17.03.1994 ) Efes Pilsen - FC Barcelona  62 - 76 '' ( M ) ''	tr:O tr:O tr:O tr:B-ORG tr:I-ORG tr:O tr:B-ORG tr:I-ORG tr:O tr:O tr:O tr:O tr:O tr:O tr:O tr:O tr:O
ФК Легия ( Варшава )	bg:B-ORG bg:I-ORG bg:I-ORG bg:I-ORG bg:I-ORG
RINVIA Championnat National 2004-2005 ( Algeria )	it:O it:B-LOC it:I-LOC it:I-LOC it:I-LOC it:I-LOC it:I-LOC
Likums un kārtība	lv:B-ORG lv:I-ORG lv:I-ORG
Lucjusz Domicjusz Aleksander	pl:B-PER pl:I-PER pl:I-PER
Filiale der Staatlichen Universität Irkutsk	de:O de:O de:B-ORG de:I-ORG de:I-ORG
' '' Primera División de Argentina '' '	da:O da:O da:B-ORG da:I-ORG da:I-ORG da:I-ORG da:O da:O
Xã của tỉnh Ain	vi:B-LOC vi:I-LOC vi:I-LOC vi:I-LOC
Joshua Slocum ( 1844-1909 ) US-Reiseschriftsteller	tr:O tr:B-PER tr:I-PER tr:O tr:O tr:O tr:O
Cordilheira — ou cadeia montanhosa	pt:B-LOC pt:O pt:O pt:O pt:O
Κατάλογος Σουλτάνων της Οθωμανικής Αυτοκρατορίας	el:B-PER el:I-PER el:I-PER el:I-PER el:I-PER
' '' Wilmer Allison '' '	sk:O sk:O sk:B-PER sk:I-PER sk:O sk:O
''Usluga '' - Pazin	hr:O hr:O hr:O hr:B-LOC
PERADRESAVIMAS Albert Bacon Fall	lt:O lt:B-PER lt:I-PER lt:I-PER
Jawatankuasa pembangunan kampung di Nepal	ms:B-LOC ms:I-LOC ms:I-LOC ms:I-LOC ms:I-LOC
ПЕРЕНАПРАВЛЕННЯ Бондарєв Костянтин Анатолійович	uk:O uk:B-PER uk:I-PER uk:I-PER
ALIH Halim Haryanto Ho	id:O id:B-PER id:I-PER id:I-PER
'' ' '' Only Girl ( In the World ) '' – Rihanna '' '	vi:O vi:O vi:O vi:B-ORG vi:I-ORG vi:I-ORG vi:I-ORG vi:I-ORG vi:I-ORG vi:I-ORG vi:O vi:O vi:B-PER vi:O vi:O
Dette er den højeste udmærkelse kongressen i USA uddeler til enkeltpersoner .	da:O da:O da:O da:O da:O da:B-ORG da:I-ORG da:I-ORG da:O da:O da:O da:O
Er war Gründungsmitglied und Leiter der FDJ in Paris .	de:O de:O de:O de:O de:O de:O de:B-ORG de:O de:B-LOC de:O
' '' Φρέντερικ Τσιλούμπα '' ' ( 1943–2011 )	el:O el:O el:B-PER el:I-PER el:O el:O el:O el:O el:O
' '' Мадрид '' '	bg:O bg:O bg:B-LOC bg:O bg:O
' '' «Ижора» Гатчинский район	ru:O ru:O ru:O ru:B-LOC ru:I-LOC
WEITERLEITUNG Fredericus Anna Jentink	de:O de:B-PER de:I-PER de:I-PER
' '' Cara Black Rennae Stubbs '' '	pt:O pt:O pt:B-PER pt:I-PER pt:B-PER pt:I-PER pt:O pt:O
Tangi dünastia ajal oli mitu ''Daozang '' kataloogi .	et:B-LOC et:I-LOC et:O et:O et:O et:O et:O et:O et:O
Hän on lappeenrantalaislähtöisen Kotiteollisuus-yhtyeen laulaja , kitaristi ja sanoittaja .	fi:O fi:O fi:O fi:B-ORG fi:O fi:O fi:O fi:O fi:O fi:O
Time vrlo lahko može doći do opstrukcije rada Parlamentarne skupštine jer samim nedolaskom trojice poslanika iz reda jednog konstitutivnog naroda blokira se rad Parlamentarne skupštine .	bs:O bs:O bs:O bs:O bs:O bs:O bs:O bs:O bs:B-ORG bs:I-ORG bs:O bs:O bs:O bs:O bs:O bs:O bs:O bs:O bs:O bs:O bs:O bs:O bs:O bs:B-ORG bs:I-ORG bs:O
Tvorí ho sedem obcí .	sk:O sk:O sk:O sk:B-LOC sk:O
Sveti Tomo ( grad )	hr:B-LOC hr:I-LOC hr:I-LOC hr:I-LOC hr:I-LOC
' '' Aprilia '' '	fr:O fr:O fr:B-ORG fr:O fr:O
Angkatan Tentera Amerika Syarikat	ms:B-ORG ms:I-ORG ms:I-ORG ms:I-ORG
Sebeža - 5 869 iedz .	lv:B-LOC lv:O lv:O lv:O lv:O lv:O
Ivanovice pie Hanas — 2 917 iedz .	lv:B-LOC lv:I-LOC lv:I-LOC lv:O lv:O lv:O lv:O lv:O
وقد شعر السكان بالهزة الأرضية حتى شيان التي تبعد حوالي 760 كم ( 470 ميل ) عن المدينة .	ar:O ar:O ar:O ar:O ar:O ar:O ar:B-LOC ar:O ar:O ar:O ar:O ar:O ar:O ar:O ar:O ar:O ar:O ar:O ar:O
' '' Romain Grosjean '' '	ms:O ms:O ms:B-PER ms:I-PER ms:O ms:O
Zoznam obcí departementu Territoire de Belfort	sk:B-LOC sk:I-LOC sk:I-LOC sk:I-LOC sk:I-LOC sk:I-LOC
महोदया शब्द हिन्दी मेँ महिलाओँ के लिए सम्मानजनक शब्द है।	hi:O hi:O hi:B-LOC hi:O hi:O hi:O hi:O hi:O hi:O hi:O
ללא ידיעתו , עוקבים אחריו דראקס המשמיד וגאמורה , נבחריו של הפלנקס .	he:O he:O he:O he:O he:O he:B-PER he:I-PER he:O he:O he:O he:O he:O he:O
Adalbert của Phổ ( 1811–1873 )	vi:B-PER vi:I-PER vi:I-PER vi:I-PER vi:I-PER vi:I-PER
Hapsukiislanen ( ''Aethia pygmaea '' )	fi:B-LOC fi:O fi:O fi:O fi:O fi:O
